人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾	jdox
机械有限公司	eena
烂泥扶不上墙	ckug
狼牙山五壮士	mlvg2
万般无奈之下	fidf3
人在做天在看	jnju
你不是一个人	jcoj
客户服务中心	wmvh
并没有什么用	hknt
披着羊皮的狼	uggm2
第三世界国家	rtlw
说一千道一万	sflf
难啃的硬骨头	rduw
东京爱情故事	rgyf2
中等职业学校	drqe2
别问我为什么	datt
同年同月同日	memo
四大文明古国	ymvr2
嫁出去的女儿	bsgp
情深深雨蒙蒙	hkkl
既熟悉又陌生	igtl
绝大多数情况	imlw3
这是什么原因	vojr2
地球人都知道	gnjh
睁一眼闭一眼	qfqq
举个例子来说	kjjs
友谊地久天长	nsgp
同一起跑线上	mfpy2
情深深雨濛濛	hkkk2
择日不如撞日	uoco2
时间就是生命	oagj
最重要的因素	olva
没长大的孩子	kpmh
神一般的存在	ffin
类风湿关节炎	pokc3
顾客就是上帝	xwgi
一万小时定律	ffyw
以成败论英雄	vnon
打不死的小强	ucgb
摔了个狗吃屎	urjc
曾益其所不能	hkzk2
极端个人主义	eiji
欢迎下次再来	rbfa
活到老学到老	kyqq
百害而无一利	fwlx
给我上了一课	itys
该干嘛干嘛去	sedg
一年不如一年	fece2
图书馆管理员	raqd
我和我的祖国	txtr2
文化和旅游部	vjxi2
一时心血来潮	fohk3
中国传媒大学	drjk2
增益其所不能	gkzk
广告有限公司	xqna
微信公众平台	wjhk2
欲知后事如何	hoxj3
电子科技大学	ohxk3
百利而无一害	fxlw
盘古开天辟地	icfg2
遵守交通规则	hwao2
发现美的眼睛	sngq2
吃不饱穿不暖	dcqo2
女人心海底针	bjhz
尽人事听天命	cjfj2
很久很久之后	wxwx3
执手相看泪眼	uueq3
摆事实讲道理	ufwn
这是一个问题	vofo
重大作案嫌疑	lmjv2
量变引起质变	ozbz
黄花菜都凉了	nllr
既陌生又熟悉	itlt
热脸贴冷屁股	uvov2
电子有限公司	ohna
祸兮福之所倚	fhfj3
福兮祸之所伏	fhfj4
良禽择木而栖	ijue
西南政法大学	vnfk
西红柿炒鸡蛋	viet
进城务工人员	qghd
不能承受之重	ckal
人不知而不愠	jcoh3
吃饱了没事干	dqre
工程技术人员	uxud
改革开放以后	vtfx3
数字信号处理	pwjn
朽木不可雕也	eece2
物质文明建设	qxvs
陈芝麻烂谷子	tlzh2
一百万个可能	fffk
为万世开太平	ifle
对方正在输入	rlfj
永世不得翻身	ilcz
没有太大区别	knmd
特殊教育学校	qgqe
盼星星盼月亮	qoog
眼不见心不烦	qcec
让别人说去吧	sdjd
隐形贫困人口	tfhd
一个人在战斗	fjjj2
不如退而结网	cbim
不疯魔不成活	cazk
八字还没一撇	hwcu
哀民生之多艰	tdlr
国家体育总局	rwjc
外来务工人员	lahd
头悬梁锥刺股	wfkv
没有及时回复	knce
没有好果子吃	knbd
现在立刻马上	nniy
腰椎间盘突出	veas
觉今是而昨非	kjor2
这样就可以了	vegr3
骄傲使人落后	njjx3
一盏茶的时间	ffla
不能承受之轻	ckay2
准备好了没有	whbn2
十六周岁以上	namy
好心办了坏事	bhsf2
实在没有必要	wnkv2
很久很久之前	wxwh2
新疆乌鲁木齐	ibxq
林业和草原局	ecxc
水利水电工程	kxkx3
立足基本国情	ipzh
植物大战僵尸	eqmc
立下汗马功劳	ifkl
肯定没有问题	swko2
解释就是掩饰	xtgq
赢在起跑线上	fnpy
高标准严要求	gewf
一传十十传百	fjnf
一步错步步错	fszz
为往圣继绝学	iwrk
人至察则无徒	jyww
公平公正公开	hehf2
国家资本主义	rwwi3
国际关系学院	rtht2
在这个情况下	nvjf
夏虫不可语冰	fccw
好死不如赖活	bgck2
张骞出使西域	bwsg
强直性脊柱炎	bnhc
毛主席纪念堂	vixs
远水难救近火	mkrc
不按套路出牌	cuma
东一句西一句	rfgg
全体工作人员	jjud2
唐伯虎点秋香	xjzx
地利不如人和	gxcx
天时不如地利	focx
夹起尾巴做人	hpcj
好男不跟女斗	bqcj2
并非空穴来风	hreo2
忧劳可以兴国	hlzr
思想道德修养	qehg
扶不起的阿斗	ucpj2
攘外必先安内	ulhm
睦邻友好关系	qjnt
神一样的存在	ffen
英雄不问出处	lnch4
逸豫可以亡身	wizz
风大闪了舌头	omaw
不求天长地久	cffx
京津冀一体化	gkaj
八杆子打不着	hehg
分享到朋友圈	hgyr
双黄连口服液	rnyk
因病医治无效	rana
女追男隔层纱	btqi
帝国主义列强	irib
很重要的因素	wlva
抛出了橄榄枝	usre2
摔了个狗啃泥	urjk
敢问路在何方	aapl
新白娘子传奇	iubm2
潘多拉的盒子	kluh
白胡子老爷爷	uchh2
翻过来倒过去	tkag
这样真的好吗	vend
魔幻现实主义	zini
不幸中的大幸	cgdg2
傻傻分不清楚	jjhe
公共基础知识	hlzs2
大兴安岭地区	mkwn2
差点背过气去	gyag
差那么一点点	gaty2
我们做朋友吧	tjjd2
我遇上对的人	tqyj
无人能出其右	djkn
汉谟拉比法典	ksui
现代汉语词典	njki
知来者之可追	oaqt
第一个吃螃蟹	rfjx3
说翻脸就翻脸	stvv2
一语道破天机	fshe3
中日甲午战争	dosx
二者不可兼得	mqcw
五十六个民族	wnal
兵家必争之地	twhg
北京爱情故事	agyf2
只有一个地球	dnfn
告台湾同胞书	qkka
并不尽如人意	hccx
心理阴影面积	hntx
惟恐天下不乱	hufa2
有贼心没贼胆	nohv3
杀了个回马枪	brje
猪一样的队友	mfen2
睁着眼说瞎话	qgqs2
经济管理学院	ikrt
说一套做一套	sfmm
谦虚使人进步	szjs
饥一顿饱一顿	qfff
香港科技大学	xkxk
高等职业教育	grqb2
三年困难时期	terz
国防科技大学	rtxk
字面上的意思	wbyq
幽门螺旋杆菌	vacl2
正确打开方式	fmup4
脑子被驴踢了	vhtr
西红柿鸡蛋汤	viek2
要从娃娃抓起	vjbp
说曹操曹操到	sfuy
跟没事人一样	pkfe
革命尚未成功	tjsu
顾左右而言它	xnnw
食而不知其味	qlcd
三年自然灾害	teow
不如授人以渔	cbuk
不费一兵一卒	ctfz
买家承担运费	awat
人力物力财力	jsqs3
北京科技大学	agxk
厉害了我的哥	xwrz
喝凉水都塞牙	dwkl
好奇心害死猫	bmhm
巴啦啦小魔仙	mddj2
得了便宜卖乖	wrjl2
支付宝二维码	cjwm5
武汉长江大桥	fkpe
瘦成一道闪电	anfo
笑起来真好看	rpau
经济和信息化	ikxj
航空航天大学	ieik
霜打了的茄子	turh
不敢当不敢当	cayy2
从天堂到地狱	jfsm2
保持共产党员	juld
倒了八辈子霉	jrht2
倒吸了口冷气	jdrv4
删除聊天记录	itqb
华南理工大学	jnnk2
新世界的大门	ilqa
杜拉拉升职记	euus2
生于斯长于斯	lfzz
神圣罗马帝国	fryr2
笑一笑十年少	rfry
臣妾做不到啊	qijd
自编自导自演	oiok2
谁主张谁举证	sibs
大字不识一个	mwcj3
我们可以知道	tjzh
我为自己代言	tios
不会是真的吧	cjod
不在一个频道	cnfh
世界一流水平	lqfe
中国农业大学	drwk
久而不闻其香	xlcx3
倒吸了口凉气	jdrv5
凡人不可貌相	ojce
北京交通大学	agak2
华中师范大学	jdpk
卖家承担运费	nwat
南京长江大桥	ngpe
历史最高水平	xdoe
历史记录画笔	xdsr
又当爹又当妈	ryhb
吃什么补什么	djtt
圆满完成任务	rkwh
广东发展银行	xrsp3
很厉害的样子	wxwh3
恢复出厂设置	hesy2
打破世界纪录	umlb
抢到就是赚到	uygy
撒哈拉大沙漠	uduk2
改革开放以前	vtfh
来自星星的你	aooj
注定孤独一生	kwhl2
混合动力汽车	kjby2
简约而不简单	rilh
耍小孩子脾气	lyhv
良心被狗吃了	ihtr
虚拟现实技术	zune
还有这种操作	cnvj4
选择大于努力	qums2
马雅可夫斯基	nlzz
也是一个问题	eofo
五行相生相克	wpec
北京体育大学	agjk
国际领先水平	rtje2
女士们先生们	bgjj
实迷途其未远	wpjm
异曲同工之处	vymh2
我竟无言以对	txdr
扼杀在摇篮中	ubnd2
按在地上摩擦	ungu
民主社会主义	difi
消息灵通人士	kobg
笑容渐渐消失	rwkt2
我拍了拍自己	turv
人民检察院	jdet
中国共产党	drls
马克思主义	ncqi
人民共和国	jdlr
犯罪嫌疑人	mybj
人与人之间	jfja
法定代表人	kwjj
律师事务所	wpfm
发展中国家	scdw
经济全球化	ikjj
毛泽东思想	vkre
刑事诉讼法	ffsk
特别行政区	qdpn
人大常委会	jmsj
社交恐惧症	faua
资产负债表	wixa
民主集中制	diuq
中央委员会	dmxj
个体工商户	jjum
一次又一次	fwrw
摸不着头脑	ucgv
街道办事处	phsh
现实生活中	nwld
一去不复返	fgcx
新闻发布会	iasj
中央政治局	dmfc
常务委员会	shxj
二十一世纪	mnfi
文化大革命	vjmj2
人民大会堂	jdms
亚里士多德	fdgw
新民主主义	idii
政治经济学	fkik2
杀鸡给猴看	briu
巭孬嫑夯莪	uccl2
唯物辩证法	dqnk
一波又一波	fkrk
雾雨魔理沙	ttzk
冈部伦太郎	miji
艾尔登法环	lxhn
塞尔达传说	wxms
大王酸浆鱿	mnyw
役野满里奈	wdkm
小日向美优	yotj
都月琉衣纱	qvni
五日市芽依	wozj
佐佐木沙希	jjeb
明日叶三叶	oodd
尾崎绘里香	cvix2
相叶美沙子	edgh
可遇不可求	zqcf
现代化建设	njjs2
证券交易所	sham
小资产阶级	ywii
羡慕嫉妒恨	glbh
主观能动性	irkh
恨铁不成钢	hzcz
为人民服务	ijdh
计算机网络	srei
学术研讨会	kemj2
观世音菩萨	rlxl
皮笑肉不笑	rrmr
社会生产力	fjls
一时半会儿	fohp
更上一层楼	fyfe
算不了什么	rcrt
三思而后行	tqlp
可持续发展	zuic
滚筒洗衣机	krke
𰻝𰻝面	eebm
小镇做题家	yzjw
科学发展观	xksr2
邓小平理论	ryes
蹬鼻子上脸	pohv
精神分裂症	pfha
中央电视台	dmok
加利福尼亚	sxff
绝大多数人	imlj
二十四小时	mnyo
十万八千里	nfhd
何乐而不为	jbli
天安门广场	fwag
牵着鼻子走	mgop2
人生地不熟	jlgg
社会心理学	fjhk
十年如一日	nebo
人民解放军	jdxw
破罐子破摔	mahu
不尽如人意	ccbx
全民所有制	jdmq
住房公积金	jmhz
印度尼西亚	bxcf
珠穆朗玛峰	nxiv
斯坦福大学	zgfk
哈萨克斯坦	dlcg
先下手为强	qfub
电子计算机	ohse
注册会计师	kijp
伯罗奔尼撒	jymu
中央办公厅	dmsx
但愿人长久	jxjx2
中国科学院	drxt
碳水化合物	mkjq
最大公约数	omhp
非婚生子女	rblb
国务院总理	rhtn
八九不离十	hkcn
在此基础上	nszy
高处不胜寒	ghcw
杀人不眨眼	bjcq
阿姆斯特丹	tbzm
敢怒不敢言	abcs
人民出版社	jdsf2
退而求其次	ilfw
普罗米修斯	hypz
首席执行官	hxuw
三下五除二	tfwm
笔记本电脑	rsev
新文化运动	ivjb
移动互联网	xbfm
个人所得税	jjmx
西藏自治区	vlon
野火烧不尽	dccc
风水轮流转	okyy
人不可貌相	jcze
日久见人心	oxeh
难于上青天	rfyf
亚特兰蒂斯	fqhz
吃力不讨好	dscb
海军陆战队	kwtt2
欲速则不达	hxom
翻脸不认人	tvcj
且行且珍惜	fpfh
埃菲尔铁塔	glxg
拉斯维加斯	uziz
弹指一挥间	bufa
微型计算机	wfse
新石器时代	imdj
岁月不饶人	vvcj
一问三不知	fato
临时抱佛脚	pouv
中央书记处	dmah
阿尔卑斯山	txuv
狮子大开口	mhmd
南京大屠杀	ngmb
快刀斩乱麻	hpyz
艺高人胆大	lgjm
名不见经传	lcej2
相忘于江湖	effk
宫商角徵羽	wixz
小巫见大巫	yueu
脸红脖子粗	vivp
四两拨千斤	ymut3
劳动生产率	lblz
十八层地狱	nhcm
精神损失费	pfut
防患于未然	tdfv
一言以蔽之	fsvr
吹胡子瞪眼	dchq
二十四节气	mnyv
九一八事变	kfhz2
不平等条约	ceri
宾夕法尼亚	wlkf
眼不见为净	qcew
自由职业者	odqq
阿拉伯数字	tujw
少壮不努力	yacs
多米诺骨牌	lpsa
伊斯坦布尔	jzgx
埃塞俄比亚	gwjf
教科文组织	qxvi
否定之否定	cwrw
大资产阶级	mwii
大眼瞪小眼	mqqq2
居民身份证	cdzs
习惯成自然	zhnv
毕达哥拉斯	vmzz
记者招待会	squj
泼出去的水	ksgk2
后浪推前浪	xkuk
三百六十五	tfaw
一物降一物	fqtq
爱拼才会赢	yunf
自然保护区	ovjn
留得青山在	bwan
世上无难事	lydf2
无党派人士	dskg
国家统计局	rwic2
泰坦尼克号	agcd2
物以稀为贵	qvxc
最后一公里	oxfd2
常任理事国	sjnr
无政府主义	dfxi
十八般武艺	nhil
不打不相识	cucs
老大徒伤悲	qmwr
春风吹又生	aodl
报喜不报忧	uhch
中国工程院	drut
吃喝拉撒睡	dduq
路遥知马力	pyos
庐山真面目	xvnq
四个现代化	yjnj
沙特阿拉伯	kqtj
病急乱投医	axan
赶鸭子上架	pshs
坐山观虎斗	jvrj
针尖对麦芒	zyrl
副交感神经	fani
艾森豪威尔	legx
透不过气来	xcka2
睁眼说瞎话	qqss2
吃软不吃硬	dycm
柴达木盆地	smeg
三百六十行	tfap
反其道而行	xzhp
人心隔肚皮	jhtr
温故而知新	kcli2
擒贼先擒王	uoqn
扮猪吃老虎	umdz
米开朗基罗	pfiy
俗话说得好	jssb
西部大开发	vims2
佛罗里达州	jydo
无用武之地	dtfg
集体所有制	ujmq
群起而攻之	bplr
布尔什维克	nxjc
民以食为天	dvqf
明尼苏达州	oclo
以其人之道	vzjh
斯德哥尔摩	zwzz
松下幸之助	efgf
自由贸易区	odbn
旧石器时代	gmdj
爱斯基摩人	yzzj
流行性感冒	kpho
明知山有虎	oovz
天涯若比邻	fklj
柴可夫斯基	szhz
党支部书记	scis
社交牛逼症	faqa
富贵不能淫	wcck
桃李满天下	eekf
女大十八变	bmnz
可望不可即	zfci
无巧不成书	duca
司马昭之心	anoh
一鼻孔出气	fohv
无官一身轻	dwfy
无风不起浪	dock
换汤不换药	ukcl
饱暖思淫欲	qoqh
天公不作美	fhcg
他乡遇故知	jiqo
行行出状元	ppsm4
秋风扫落叶	xoud
杯酒释兵权	ekte
天高皇帝远	fgum
朽木不可雕	eecm
贵人多忘事	cjlf
真人不露相	njce
鲤鱼跳龙门	wwpa
山高皇帝远	vgum
打蛇打七寸	ucuk
射人先射马	zjqn2
东风吹马耳	rodq
八字没一撇	hwku
桃李遍天下	eemf
空口说白话	edss
无毒不丈夫	dach
无何有之乡	djni
旧瓶装新酒	ghak
版版六十四	aaay
独木不成林	mece
女大不中留	bmcb2
唯物主义者	dqiq
小儿麻痹症	ypza
三七二十一	trmf
依样画葫芦	jefl3
疾风知劲草	aool
铁杵磨成针	zezz2
依葫芦画瓢	jllv
银样镴枪头	zezw
蚍蜉撼大树	ccue2
平地一声雷	egft
塔吉克斯坦	ggcg
马达加斯加	nmss2
时势造英雄	ouqn
原教旨主义	xqvi
五四青年节	wyal
教育工作者	qbuq
克里姆林宫	cdbw
阿尔巴尼亚	txmf
阿尔及利亚	txcf
非一日之寒	rfow
齐齐哈尔市	qqdz
君主立宪制	biiq
长江三角洲	pktk
贫贱不能移	hocx
克里斯托弗	cdzt
急急如律令	xxbj
海内存知己	kmnv
市场占有率	zgyz
杀人不见血	bjct
树倒猢狲散	ejml
兵败如山倒	tobj
法西斯主义	kvzi
钢筋混凝土	zrkg2
一笑泯恩仇	frkj
阿姆斯特朗	tbzi
天文望远镜	fvfz
只怕有心人	dhnj
一亩三分地	fztg
任重而道远	jllm
自动柜员机	obee
一二三四五	fmtw
这个世界上	vjly2
费力不讨好	tscb2
枪打出头鸟	eusx
墙倒众人推	gjju
节目主持人	lqij
神经官能症	fiwa
以小人之心	vyjh2
两条腿走路	mhvp2
恶人先告状	fjqa
温水煮青蛙	kkqc
百分之一百	fhrf4
不发达国家	csmw
电视连续剧	ofyc
一碗水端平	fmke2
哥斯达黎加	zzms
脚踏两只船	vpmi
海阔凭鱼跃	kajp2
所罗门群岛	myax
唐宋八大家	xwhw
一锤子买卖	fzhn
必先利其器	hqxd2
工欲善其事	uhgf
除非己莫为	trvi
幼发拉底河	isuk
慢工出细活	husk
快乐大本营	hbml2
雅鲁藏布江	lwlk
人民子弟兵	jdht
国际劳动节	rtll
科罗拉多州	xyuo
个人计算机	jjse
历史博物馆	xdnq
一棍子打死	fehg
度君子之腹	xbhv
调制解调器	sqxd3
贪多嚼不烂	jldc
杀鸡用牛刀	brtp
柯尔克孜族	excl
大恩不言谢	mrcs
珠江三角洲	nktk
中央情报局	dmhc
亚利桑那州	fxro
有鼻子有眼	nohq2
好事不出门	bfca
霍尔传感器	txjd
里约热内卢	diuy
斯皮尔伯格	zrxe
北卡罗来纳	ayyi
事后诸葛亮	fxsg
送佛送到西	hjhv2
俄克拉荷马	jcun3
三八妇女节	thbl
得理不饶人	wncj
老年痴呆症	qeaa
十年磨一剑	nezj2
吃了豹子胆	drmv
倚天屠龙记	jfcs2
脑筋急转弯	vrxz
学而优则仕	kljj
志当存高远	gynm
无往而不利	dwlx
迪士尼乐园	dgcr
六一儿童节	afpl
阿拉伯半岛	tujx
全国总工会	jrhj
三个臭皮匠	tjon
竹筒倒豆子	rrjh2
中央处理器	dmhd
戈尔巴乔夫	pxmh
照葫芦画瓢	ollv2
瑞雪兆丰年	ntpe
亚拉巴马州	fumo
办公自动化	shoj
威武不能屈	nfcc
纸包不住火	incc
只要功夫深	dvuk
射电望远镜	zofz
约翰内斯堡	inmj
名师出高徒	lpsw
知子莫若父	ohlh
大鱼吃小鱼	mwdw
国际奥委会	rttj
无记名投票	dslv
维特根斯坦	iqeg
偏向虎山行	jtzp
名侦探柯南	ljun
计划单列市	sphz
下笔如有神	frbf
里外不是人	dlcj
平行四边形	epyf2
社会保障卡	fjjy
经济适用房	ikam2
恩格尔系数	rexp
狮身人面像	mzjj
大中型企业	mdfc
形象代言人	fwjj
表演艺术家	aklw3
高级工程师	giup
阿尔茨海默	txlp
扩大再生产	umfi
米开朗琪罗	pfiy2
化学方程式	jklp
稳坐钓鱼台	xjzk
达摩克利斯	mzcz2
久旱逢甘雨	xoht2
卡萨布兰卡	ylny
路易斯安那	poza
隔行如隔山	tpbv
泥菩萨过江	kllk2
二桃杀三士	mebg
水火不相容	kccw2
牡丹花下死	qmlg
激光打印机	kmue
三八红旗手	thiu2
国际儿童节	rtpl
巴尔干半岛	mxex
不明飞行物	cocq
德谟克利特	wscq
碰一鼻子灰	mfon
自动取款机	obqe
君士坦丁堡	bggj
安第斯山脉	wrzv
豆腐渣工程	zxkx
超现实主义	pnwi
手扶拖拉机	uuue3
各种各样的	sxsu
不期然而然	czvv
天字第一号	fwrd
常言说得好	sssb
斯洛文尼亚	zkvf
功到自然成	uyon2
礼轻情意重	fyhl2
小米加步枪	ypse
救民于水火	fdfc
有奶便是娘	nbjb
苛政猛于虎	lfmz
急来抱佛脚	xauv
八一建军节	hfbl
工业总产值	uchj
中央商务区	dmin3
国家安全部	rwwi2
天打五雷轰	fuwy
磁悬浮列车	mfky2
艾菲尔铁塔	llxg
不结盟运动	ciob
出口转内销	sdyz
毛里塔尼亚	vdgf
贝尔格莱德	oxew
大意失荆州	mxto
布加勒斯特	nstq
斯大林格勒	zmet2
等边三角形	rstf2
马丁路德金	napz
黑白电视机	puoe
布基纳法索	nzin
慷他人之慨	hjjh2
几内亚比绍	omfi
土库曼斯坦	gxog
若要人不知	lvjo
美特斯邦威	gqzn
元素周期律	mamw2
本初子午线	ethi2
波利尼西亚	kxcf
烈火见真金	gcez
黑天鹅事件	pftj
被害妄想症	twfa
诗酒趁年华	skpj
还需不需要	ctcv
违法成本低	gknj
突如其来的	ebzu
我也不知道	tech2
广濑爱丽丝	xkyi
究竟是什么	exot
过了一会儿	krfp2
什么也没有	jten2
这样的事情	veuh
一个又一个	fjrj4
根本不可能	eeck2
不得不承认	cwcs3
绝对不可能	irck
尾田荣一郎	cqli
高桥留美子	gebh
命运共同体	jblj2
这种情况下	vxhf
所有的一切	mnur
有什么事情	njth
这样的情况	veuw
企事业单位	jfcj
没有人知道	knjh
任何一个人	jjfj2
核心价值观	ehjr
从现在开始	jnnb2
不会有什么	cjnt
有什么区别	njtd
皱了皱眉头	xrxw
可能是因为	zkoi
第二天早上	rmfy
一遍又一遍	fmrm2
犹豫了一下	mirf
不管怎么说	crws
外面的世界	lbuq
并不意味着	hcxg
叫什么名字	djtw
从实际出发	jwts
并不是因为	hcoi
意味着什么	xdgt
闭上了眼睛	ayrq
有什么意义	njti
这样的一个	veuj
什么都可以	jtqv
结构性改革	ieht
时间和精力	oaxs
一切的一切	frur
这怎么可能	vwtk3
不管怎么样	crwe2
一般情况下	fihf3
我们都知道	tjqh
完全不一样	wjce
不知为什么	coit
一个多小时	fjlo
怎么会这样	wtje
没有人可以	knjv
也许是因为	esoi
日常生活中	osld2
很大程度上	wmxy
或许是因为	psoi
不是一个人	cofj3
故意伤害罪	cxjy
为什么没有	ijtn2
瞪大了眼睛	qmrq
有没有什么	nknt2
又怎么可能	rwtk
正因为如此	fris2
喘不过气来	dcka
怎么一回事	wtff
另外一个人	dlfj2
故意杀人罪	cxby
受法律保护	ykwu
你怎么知道	jwth3
从来都没有	jaqn2
如果是这样	bqoe
反腐败斗争	xxox
皱起了眉头	xprw
正常情况下	fshf3
没那么容易	kato2
房地产开发	mgis
第一次见面	rfwb
供给侧结构	jije
大部分时间	miha
国家和地区	rwxn
眨了眨眼睛	qrqq3
第二天一早	rmfo
个工作日内	jujm2
睁开了眼睛	qfrq
这么长时间	vtpa
从今天开始	jjfb
联系在一起	qtnp
开始的时候	fbuj
对于我来说	rfts
完全不知道	wjch
一个接一个	fjuj2
从来就没有	jagn2
想起了什么	eprt
什么也没说	jtes
我们为什么	tjit
根本不需要	eecv
并不是一个	hcoj
有那么一个	natj3
这样的问题	veuo
就没有什么	gknt
算得了什么	rwrt
我也不清楚	tece2
甲基苯丙胺	szlv
七天无理由	rfdd
出租车司机	sxye
有什么不同	njtm
我都不知道	tqch2
有这么一个	nvtj3
毛泽东同志	vkrg
决定性作用	wwht
生命的意义	ljui
中国历史上	drxy2
什么都不懂	jtqh5
打了个电话	urjs
这个过程中	vjkd
一点儿也不	fypc2
对他们来说	rjjs
某种程度上	zxxy
知道不知道	ohch2
最好的自己	obuv
微信公众号	wjhd
公有制经济	hnqk
某种意义上	zxxy2
身份证号码	zjsm
原来是这样	xaoe
永远不知道	imch2
走自己的路	povp
万万没想到	ffky2
一天比一天	ffvf
一点都没有	fyqn
主要是因为	ivoi
任何情况下	jjhf2
核心竞争力	ehis
恶向胆边生	ftvl
到目前为止	yqhs
我怎么知道	twth
福兮祸所伏	fhfj
一代又一代	fjrj5
并没有因为	hkni
最重要的事	olvf
网易云音乐	mobb
立克次氏体	icwj
一气化三清	fvjk
生旦净末丑	lowa
努库阿洛法	bxtk
最大限度地	omtg
很大一部分	wmfh2
进一步提高	qfsg
从来没有过	jakk
过一段时间	kfua
在这样一个	nvej2
这是为什么	voit
也不过如此	ecks2
没什么区别	kjtd
房地产市场	mgig
没什么问题	kjto3
对我们来说	rtjs2
眼皮子底下	qrhf
看不下去了	ucfr
出什么事了	sjtr
支付宝账户	cjwm3
一年又一年	fere
发展过程中	sckd
开什么玩笑	fjtr
半个多小时	hjlo
没什么两样	kjte
大概是因为	meoi
官方旗舰店	wllx
应该是一个	xsoj2
世界那么大	lqam
打了个招呼	urjd4
有什么意思	njtq
原因很简单	xrwh
耐得住寂寞	lwjw2
仅仅是因为	jjoi2
结合在一起	ijnp
无理由退货	dndj
邓小平同志	ryeg
灯火阑珊处	ccah
睁大了眼睛	qmrq2
一百八十度	ffhx
什么意思呢	jtxd2
他也不知道	jech
一动也不动	fbeb
北京奥运会	agtj2
支付宝账号	cjwd
没什么关系	kjtt
政治局常委	fkcx
到现在为止	ynns
撒哈拉沙漠	uduk
人类历史上	jpxy
密切接触者	wruq
通常情况下	kshf2
随时都可以	toqv
在这一点上	nvfy2
你知道什么	joht
一个比一个	fjvj
仅仅是一个	jjoj2
计算机科学	srek
完美主义者	wgiq
从来没想过	jakk2
主要表现在	ivan
下定了决心	fwrh2
真正意义上	nfxy2
高校毕业生	gevl2
再这样下去	fveg
都没有什么	qknt2
信息化建设	jojs
这就意味着	vgxg
进一步发展	qfsc3
从这个角度	jvjx2
最大的问题	omuo
糖皮质激素	prxa
国家领导人	rwjj
就不知道了	gcor2
已经是一个	vioj
算什么东西	rjtv
完全是因为	wjoi
录取通知书	bqka
同一个地方	mfjl
理想主义者	neiq
革命根据地	tjeg
可支配收入	zcyj
拿不定主意	jcwx2
使用过程中	jtkd2
发展生产力	scls
所有制经济	mnqk
故宫博物院	cwnt
先进工作者	qquq
没什么意思	kjtq
加入购物车	sjoy
户籍所在地	mrmg
要不了多久	vcrx
超级计算机	pise
不是很清楚	cowe
明智的选择	oouu2
吃奶的力气	dbuv
准备好了吗	whbd
我也没办法	tekk2
敢为天下先	aifq
不过是因为	ckoi
需要的时候	tvuj
不知为不知	coio
供给侧改革	jijt3
共产党宣言	liss2
根本不存在	eecn
最可爱的人	ozyj
知之为知之	orir3
心理咨询师	hnwp
也没有关系	eknt2
很不好意思	wcbq
已经得到了	viwr2
管理委员会	rnxj
经历了什么	ixrt
没那么简单	kath2
对事不对人	rfcj
那又怎么样	arwe2
集中注意力	udks2
但是我觉得	jotw
相当一部分	eyfh
新能源汽车	ikky
真的是一个	nuoj3
这就是一个	vgoj
绝对是一个	iroj2
一千零一夜	fltz
牧濑红莉栖	qkie3
有一个问题	nfjo2
感觉怎么样	nkwe2
第一个问题	rfjo2
一次比一次	fwvw
侠盗猎车手	jwmu
所有的问题	mnuo
芝加哥大学	lszk
想都不敢想	eqce
密西西比河	wvvk
五星级酒店	woix
一花一世界	flfq
不久的将来	cxua
特殊情况下	qghf
美帝国主义	giri
欲穷千里目	helq
一天又一天	ffrf2
觉得怎么样	kwwe
一直到现在	fnyn
全国范围内	jrlm
国际影响力	rtos
尽在不言中	cncd
这个意义上	vjxy
不可避免地	czcg
不是一回事	coff
什么意思啊	jtxd3
我有个朋友	tnjn
政治局委员	fkcd2
最坏的打算	ogur
不确定因素	cmwa
狗眼看人低	mquj
不祥的预感	cfun2
原因就在于	xrgf2
三分钟热度	thzx
可以看出来	zvua
问题的关键	aouz
同样的道理	meun2
应该是这样	xsoe
新华社记者	ijfq2
孩子的母亲	hhui
港珠澳大桥	knke4
吓了我一跳	drtp
从来也没有	jaen
时间不多了	oacr2
可以这么说	zvvs
实在没办法	wnkk2
科技工作者	xuuq
全球范围内	jnlm
第二个问题	rmjo
绝对不可以	ircv
有什么作用	njtt
做好了准备	jbrh
一个劲儿地	fjrg4
关你什么事	hjjf
国际竞争力	rtis2
孩子的父亲	hhui2
可望不可及	zfcc
千里共婵娟	ldlb
其实是因为	zwoi
漫漫人生路	kkjp
难道是因为	rhoi
巨大的变化	nmuj
混合所有制	kjmq2
自贸试验区	obsn
重要的原因	lvur2
几乎不可能	otck
继承和发展	iaxc
你也不知道	jech2
竟然是一个	xvoj
天上掉馅饼	fyuq
一个半小时	fjho
东西南北中	rvnd
世界范围内	lqlm
第二天晚上	rmfy2
甲状腺激素	sava2
中国青年报	drau2
职业经理人	qcij
越来越重要	papv
应该是一种	xsox
这样的一种	veux
一言不合就	fscg
人间四月天	jayf2
转移注意力	yxks
善意的谎言	gxus
没什么事情	kjth
另一个角度	dfjx2
对于你来说	rfjs
常回家看看	srwu
治标不治本	kece
我个人认为	tjji
扮演的角色	ukux
睁不开眼睛	qcfq2
迟早有一天	conf2
一定条件下	fwhf2
抬不起头来	ucpa
没什么兴趣	kjtp
华尔街日报	jxpu
大学毕业生	mkvl
